Task,Priority,Status,Owner,Due Date
Verify Day 2 place opens and Rojo connects,High,Playtest,Bear / Codex,2026-07-29
Test adjustable battle UI in Roblox Studio,High,Playtest,Bear / Codex,2026-07-29
Test hover placement preview and blocked-placement feedback,High,Playtest,Bear / Codex,2026-07-29
Fix any Day 2 Studio errors from Output window,High,Ready,Codex,2026-07-30
Add queue countdown and match-start banner,High,In Progress,Codex,2026-07-30
Add story-mode mission flow with objectives and rewards,Medium,Playtest,Codex,2026-07-31
Add hub story chapter preview and mission framing,Medium,Playtest,Codex,2026-07-31
Add story chapter intro and result copy,Medium,Playtest,Codex,2026-07-31
Add battle arenas per match instead of one shared arena,High,Playtest,Codex,2026-08-01
Add player customization save data for UI theme and layout,Medium,Playtest,Codex,2026-08-01
Add progression-gated piece and board skin customization,Medium,Playtest,Codex,2026-08-02
Add hub cosmetic preview swatches,Medium,Playtest,Codex,2026-08-02
Add cosmetic closet panel,Medium,Playtest,Codex,2026-08-02
Add round timer and sudden-death pressure,High,In Progress,Codex,2026-08-02
Add rewards after battles: coins XP wins and Story Stars,High,Playtest,Codex,2026-08-03
Add permanent leaderboard stats for wins best score and Story Stars,High,Playtest,Codex,2026-08-03
Add post-run results panel,Medium,Playtest,Codex,2026-08-03
Add next-unlock hints to post-run results,Medium,Playtest,Codex,2026-08-03
Improve hub visuals and signposting,Medium,In Progress,Codex,2026-08-04
Add sound effects for placing clearing queueing and winning,Medium,Playtest,Codex,2026-08-04
Add mobile-friendly controls and scale testing,High,Playtest,Codex,2026-08-05
Harden profile save reliability and diagnostics,High,Playtest,Codex,2026-08-05
Add server playtest analytics hooks,Medium,Playtest,Codex,2026-08-05
Prevent early-leave reward farming,High,Playtest,Codex,2026-08-06
Add suspicious placement remote diagnostics,High,Playtest,Codex,2026-08-06
Harden play-again queue lifecycle,High,Playtest,Codex,2026-08-06
Original .rbxl file may stay locked while Studio has it open,Medium,Known,Bear / Codex,2026-07-29
Need confirm Rojo plugin connects to Day 2 place,High,Playtest,Bear / Codex,2026-07-29
Need test two-player battle end condition in Studio multiplayer test,High,Ready,Bear / Codex,2026-07-30
